Date,Open,High,Low,Close,Adj Close,Volume
2023-10-16,7.260000,7.260000,7.260000,7.260000,6.595808,0
2023-10-17,null,null,null,null,null,null
2023-10-18,7.240000,7.240000,7.240000,7.240000,6.577639,0
2023-10-19,null,null,null,null,null,null
2023-10-20,7.160000,7.160000,7.160000,7.160000,6.504958,0
2023-10-23,7.120000,7.120000,7.120000,7.120000,6.468616,0
2023-10-24,7.160000,7.160000,7.160000,7.160000,6.504958,0
2023-10-25,7.140000,7.140000,7.140000,7.140000,6.486786,0
2023-10-26,null,null,null,null,null,null
2023-10-27,7.100000,7.100000,7.100000,7.100000,6.450446,0
2023-10-30,7.100000,7.100000,7.100000,7.100000,6.450446,0
2023-10-31,7.080000,7.080000,7.080000,7.080000,6.475139,0
2023-11-01,null,null,null,null,null,null
2023-11-02,7.220000,7.220000,7.220000,7.220000,6.603179,0
2023-11-03,7.300000,7.300000,7.300000,7.300000,6.676344,0
2023-11-06,7.310000,7.310000,7.310000,7.310000,6.685489,0
2023-11-07,7.300000,7.300000,7.300000,7.300000,6.676344,0
2023-11-08,null,null,null,null,null,null
2023-11-09,7.310000,7.310000,7.310000,7.310000,6.685489,0
2023-11-10,7.270000,7.270000,7.270000,7.270000,6.648908,0
2023-11-13,7.290000,7.290000,7.290000,7.290000,6.667199,0
2023-11-14,null,null,null,null,null,null
2023-11-15,7.430000,7.430000,7.430000,7.430000,6.795238,0
2023-11-16,7.440000,7.440000,7.440000,7.440000,6.804383,0
2023-11-17,7.440000,7.440000,7.440000,7.440000,6.804383,0
2023-11-20,7.450000,7.450000,7.450000,7.450000,6.813529,0
2023-11-21,7.470000,7.470000,7.470000,7.470000,6.831820,0
2023-11-22,7.480000,7.480000,7.480000,7.480000,6.840967,0
2023-11-24,7.500000,7.500000,7.500000,7.500000,6.859258,0
2023-11-27,7.490000,7.490000,7.490000,7.490000,6.850111,0
2023-11-28,7.500000,7.500000,7.500000,7.500000,6.859258,0
2023-11-29,7.550000,7.550000,7.550000,7.550000,6.904986,0
2023-11-30,7.480000,7.480000,7.480000,7.480000,6.883820,0
2023-12-01,7.500000,7.500000,7.500000,7.500000,6.902225,0
2023-12-04,7.530000,7.530000,7.530000,7.530000,6.929834,0
2023-12-05,7.520000,7.520000,7.520000,7.520000,6.920631,0
2023-12-06,7.550000,7.550000,7.550000,7.550000,6.948240,0
2023-12-07,7.530000,7.530000,7.530000,7.530000,6.929834,0
2023-12-08,null,null,null,null,null,null
2023-12-11,7.550000,7.550000,7.550000,7.550000,6.948240,0
2023-12-12,7.560000,7.560000,7.560000,7.560000,6.957442,0
2023-12-13,7.580000,7.580000,7.580000,7.580000,6.975849,0
2023-12-14,7.720000,7.720000,7.720000,7.720000,7.104691,0
2023-12-15,7.700000,7.700000,7.700000,7.700000,7.086285,0
2023-12-18,7.710000,7.710000,7.710000,7.710000,7.095487,0
2023-12-19,7.730000,7.730000,7.730000,7.730000,7.113894,0
2023-12-20,7.750000,7.750000,7.750000,7.750000,7.132299,0
2023-12-21,7.730000,7.730000,7.730000,7.730000,7.113894,0
2023-12-22,7.760000,7.760000,7.760000,7.760000,7.141503,0
2023-12-26,null,null,null,null,null,null
2023-12-27,7.780000,7.780000,7.780000,7.780000,7.159909,0
2023-12-28,7.810000,7.810000,7.810000,7.810000,7.187518,0
2023-12-29,7.750000,7.750000,7.750000,7.750000,7.175480,0
2024-01-02,null,null,null,null,null,null
2024-01-03,null,null,null,null,null,null
2024-01-04,null,null,null,null,null,null
2024-01-05,null,null,null,null,null,null
2024-01-08,null,null,null,null,null,null
2024-01-09,7.700000,7.700000,7.700000,7.700000,7.129188,0
2024-01-10,7.720000,7.720000,7.720000,7.720000,7.147705,0
2024-01-11,7.720000,7.720000,7.720000,7.720000,7.147705,0
2024-01-12,7.740000,7.740000,7.740000,7.740000,7.166221,0
2024-01-16,7.710000,7.710000,7.710000,7.710000,7.138446,0
2024-01-17,7.660000,7.660000,7.660000,7.660000,7.092153,0
2024-01-18,7.660000,7.660000,7.660000,7.660000,7.092153,0
2024-01-19,7.680000,7.680000,7.680000,7.680000,7.110670,0
2024-01-22,7.740000,7.740000,7.740000,7.740000,7.166221,0
2024-01-23,7.730000,7.730000,7.730000,7.730000,7.156964,0
2024-01-24,7.750000,7.750000,7.750000,7.750000,7.175480,0
2024-01-25,null,null,null,null,null,null
2024-01-26,null,null,null,null,null,null
2024-01-29,7.780000,7.780000,7.780000,7.780000,7.203257,0
